16:14:23.471 INFO  - initializing database
16:14:23.471 INFO  - loading database... 
16:14:23.593 INFO  - success

16:14:23.600 INFO  - No net-file given. No network will be imported.
16:14:23.600 INFO  - parsing route file
16:14:23.661 INFO  - no global route definitions found (probably per vehicle routes?)
16:14:23.661 INFO  - no vehicle definitions found
16:14:23.661 INFO  - 

16:14:23.675 WARN  - vehicle with id f_r2pn_to_ikia has either no or an invalid starting time, assuming 0
16:14:23.675 INFO  - processing flow 13/72     
16:14:23.675 INFO  - processing flow 13/72     edge 1/28
16:14:23.675 INFO  - processing flow 13/72     edge 2/28
16:14:23.675 INFO  - processing flow 13/72     edge 3/28
16:14:23.675 INFO  - processing flow 13/72     edge 4/28
16:14:23.675 INFO  - processing flow 13/72     edge 5/28
16:14:23.675 INFO  - processing flow 13/72     edge 6/28
16:14:23.675 INFO  - processing flow 13/72     edge 7/28
16:14:23.675 INFO  - processing flow 13/72     edge 8/28
16:14:23.675 INFO  - processing flow 13/72     edge 9/28
16:14:23.675 INFO  - processing flow 13/72     edge 10/28
16:14:23.675 INFO  - processing flow 13/72     edge 11/28
16:14:23.675 INFO  - processing flow 13/72     edge 12/28
16:14:23.675 INFO  - processing flow 13/72     edge 13/28
16:14:23.675 INFO  - processing flow 13/72     edge 14/28
16:14:23.675 INFO  - processing flow 13/72     edge 15/28
16:14:23.675 INFO  - processing flow 13/72     edge 16/28
16:14:23.675 INFO  - processing flow 13/72     edge 17/28
16:14:23.675 INFO  - processing flow 13/72     edge 18/28
16:14:23.675 INFO  - processing flow 13/72     edge 19/28
